key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
626,,9710 2nd street,pemberton holmes,,9710 2nd Street,1553,,374,100663,legacy_location,2026-05-11T22:18:57.352487+00:00
627,,976 inverness road,inverness court,,976 Inverness Road,1554,,VN 679,100276,legacy_location,2026-05-11T22:18:57.352487+00:00
628,,9762 third street,devon properties,,9762 Third Street,1555,,HD 2679,100839,legacy_location,2026-05-11T22:18:57.352487+00:00
630,,9810 seventh street,colliers - mall,,"9810 Seventh Street, Sidney, British Columbia V8L 4W6, Canada",1556,,MM 0189,100951,legacy_location,2026-05-11T22:18:57.352487+00:00
631,,9824-9830 fourth street,realhomes management corp.,,9824-9830 Fourth Street,1557,,TA 0389,100802,legacy_location,2026-05-11T22:18:57.352487+00:00
632,,9830 second street,firm management,,9830 Second Street,1558,,355,100350,legacy_location,2026-05-11T22:18:57.352487+00:00
310,,9836 second street,devon properties,,9836 Second Street,1559,,444,100806,legacy_location,2026-05-11T22:18:57.352487+00:00
634,,984 mckenzie avenue,starlight/devon,,984 Mckenzie Avenue,1560,,ZM 489,100849,legacy_location,2026-05-11T22:18:57.352487+00:00
635,,9843 second street,devon properties,,9843 Second Street,1561,,SC 3489,100494,legacy_location,2026-05-11T22:18:57.352487+00:00
636,,9851 seaport place,shops at the port of sidney c/o the marker group,,9851 Seaport Place,1562,,SEA 1598,100860,legacy_location,2026-05-11T22:18:57.352487+00:00
637,,9851 second street,firm management,,9851 Second Street,1563,,415,100021,legacy_location,2026-05-11T22:18:57.352487+00:00
638,,9858 fifth street,wexford condominiums,,9858 Fifth Street,1564,,360,100672,legacy_location,2026-05-11T22:18:57.352487+00:00
639,,9861 fifth street,brown bros.,,9861 Fifth Street,1565,,354,100767,legacy_location,2026-05-11T22:18:57.352487+00:00
640,,9861 third street,colyvan pacific,,9861 Third Street,1566,,441,100465,legacy_location,2026-05-11T22:18:57.352487+00:00
641,,9870 second street,gibraltar,,9870 Second Street,1567,,389,100880,legacy_location,2026-05-11T22:18:57.352487+00:00
642,,9871 second street,harbour front,,9871 Second Street,1568,,357,100902,legacy_location,2026-05-11T22:18:57.352487+00:00
643,,9880 fourth street,associa british columbia inc.,,9880 Fourth Street,1569,,380,100714,legacy_location,2026-05-11T22:18:57.352487+00:00
645,,990 fort street,devon properties,,990 Fort Street,1571,,159,100378,legacy_location,2026-05-11T22:18:57.352487+00:00
646,,9900 fifth street,edgeware place,,9900 Fifth Street,1572,,369,100101,legacy_location,2026-05-11T22:18:57.352487+00:00
647,,9905 fifth street,pemberton holmes,,9905 Fifth Street,1573,,FS 5099,100732,legacy_location,2026-05-11T22:18:57.352487+00:00
649,,9919 fourth street,colyvan pacific,,9919 Fourth Street,1575,,FT 9199,100442,legacy_location,2026-05-11T22:18:57.352487+00:00
650,,9924 third street,beacon community services,,9924 Third Street,1576,,IO 4299,100796,legacy_location,2026-05-11T22:18:57.352487+00:00
651,,9950 4th street,freelance strata management,,9950 4th Street,1577,,350,100710,legacy_location,2026-05-11T22:18:57.352487+00:00
652,,9960 4th street,freelance strata management,,9960 4th Street,1578,,375,100648,legacy_location,2026-05-11T22:18:57.352487+00:00
655,,9975 fifth street,strata corporation vis 2278,,9975 Fifth Street,1581,,FT 5799,100118,legacy_location,2026-05-11T22:18:57.352487+00:00
656,,9993 fourth street,complete residential,,9993 Fourth Street,1582,,417,100901,legacy_location,2026-05-11T22:18:57.352487+00:00
347,,2747 quadra street,colyvan pacific,,2747 Quadra Street,3187,,DQ 7472,100985,legacy_location,2026-05-11T22:18:57.352487+00:00
491,,600 richmond avenue,st. matthias angelican church,,600 Richmond Avenue,3326,,MC006,100637,legacy_location,2026-05-11T22:18:57.352487+00:00
